id,text,LN1,LN2,LN3,LN4,LN5,LN6,LN7,LN8,LN9,LN10,LN11,LN12,LN13,LN14,LN15,LN16,LN17,LN18,LN19,LN20,LN21
1,瑞华公司向本院提出诉讼请求：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,"本院认为，工行永安支行分别与京朋公司、董雪琴、林永福签订的《国内保理业务合同》、《最高额抵押合同》、《最高额保证合同》、以及中国工商银行股份有限公司福建省分行与中国华融资产管理股份有限公司签订的《资产转让协议》、中国华融资产管理股份有限公司与瑞华公司签订的《资产转让协议》系各方当事人的真实意思表示,且不违反国家法律禁止性规定，为有效合同。",1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,工行永安支行按照合同的约定，履行了《国内保理业务合同》规定的义务，但京朋公司在应收账款到期后，未按合同约定对应收账款债权进行回购，已构成违约，应承担偿还借款本息及逾期付款的违约责任。,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,京朋公司、董雪琴、林永福分别将所有的位于永安市的工业厂房、小汽车等提供抵押，为京朋公司向工行永安支行的借款提供抵押担保，并依法办理了抵押登记手续，工行永安支行对抵押物依法享有优先受偿权。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,同时，董雪琴、林永福作为保证人，应当按照保证合同的约定，对京朋公司的上述债务承担连带清偿责任。,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,提供担保的第三人承担担保责任后，有权向债务人追偿。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,"京朋公司、董雪琴、林永福经本院合法传唤，无正当理由未到庭参加诉讼，视为其放弃举证、质证和抗辩的权利,本院依法缺席审理和判决。",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,依照《中华人民共和国合同法》第四十四条第一款、第一百零七条、第二百零五条、第二百零六条、第二百零七条、《中华人民共和国担保法》第十八条、第三十一条、第三十三条、第四十六条、第五十三条、第五十九条、《中华人民共和国物权法》第一百七十条、第一百七十三条、第一百七十六条、第一百七十九条、第一百九十八条、《中华人民共和国民事诉讼法》第一百四十四条的规定，判决如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,一、福建省永安京朋纺织实业有限公司应于本判决生效后十日内，偿还尚欠瑞华国银投资管理有限公司的贷款本金8960000元和利息1208906.67元（截至2017年2月20日），本息合计10168906.67元，并以未还借款本金为基数、按合同约定利率，继续支付从2017年2月21日起至还清借款本息时止的利息；,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,二、瑞华国银投资管理有限公司对福建省永安京朋纺织实业有限公司、董雪琴、林永福提供的抵押物拍卖、变卖所得价款享有优先受偿权；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,三、董雪琴、林永福对福建省永安京朋纺织实业有限公司的上述第一项债务承担连带清偿责任。,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,若被告未按指定的期间履行给付金钱义务，应当依照《中华人民共和国民事诉讼法》第二百五十三条之规定，加倍支付迟延履行期间的债务利息。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,案件受理费82813元，减半收取41406.5元，保全费5000元，合计46406.5元，由三被告共同负担。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,本院认为：涉案借款、担保事实清楚，证据充分。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,被告隆佳公司向工行舟山分行借款后未能按约支付利息，已构成违约，工行舟山分行提前收回贷款符合合同约定及法律规定，被告隆佳公司应自到期之日偿付本金及相应利息，并承担相应的违约责任。,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,被告虞邦均、刘梅芳、杨幼珠、叶晋春、虞佳尔、徐善富、虞虹洁对上述债务以各自签订的《最高额保证合同》分别提供连带责任保证，且未约定保证份额，对上述债务应承担连带共同保证责任，虞邦均、刘梅芳、杨幼珠、叶晋春、虞佳尔、徐善富、虞虹洁承担相应的保证责任后有权向隆佳公司追偿。,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,被告虞佳尔、杨幼珠提出签署保证合同存在欺诈的答辩意见，因未提供证据证明，缺乏事实依据，本院不予采纳。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,现工行舟山分行已将涉案主债权及相关担保权利转让给原告，并以登报公告的方式通知债权人和担保人，债权转让合法有效，故原告有权向各被告主张相应权利。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,由于原告的债权既有第三人提供物的担保又有第三人的保证，根据上述《最高额保证合同》的约定，债权人有权自行决定实现担保的顺序，担保人承诺不因此而提出抗辩，现原告对物保部分通过实现担保物权特别程序主张权利后，又对承担连带责任保证的保证人提起民事诉讼，符合双方约定及法律规定，本院予以支持。,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20,原告未主张在被告违约后即按逾期罚息利率计付罚息及复利，而是主张在被告违约后至原借款期内仍按原贷款利率即年利率7.8%计付罚息及在被告违约后至2015年7月31日仍按原贷款利率计付复利，系原告自行处分其权利，本院予以准许。,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,被告虞邦均、刘梅芳、叶晋春、徐善富、虞虹洁经本院合法传唤无正当理由未到庭参加诉讼，视为其自动放弃抗辩权利，本院依法缺席判决。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
22,据此，依照《中华人民共和国合同法》第七十九条、第八十条、第八十一条、第二百零五条、第二百零六条、第二百零七条、《中华人民共和国物权法》第一百七十六条、《中华人民共和国担保法》第十二条、第十四条、第十八条、第二十一条第一款、第二十二条、第三十一条和《中华人民共和国民事诉讼法》第一百四十四条之规定，判决如下：,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,一、被告舟山隆佳贸易有限公司于本判决生效之日起三日内向原告中国东方资产管理公司杭州办事处偿还编号2014年（市营）字0590号的《小企业借款合同》项下贷款本金9400000元及相应利息、复利、罚息（截至2014年12月21日的利息为124236.67元；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,以9400000为本金，按年利率7.8%自2015年12月21日起至2015年10月9日计付罚息；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,以9400000为本金，按逾期罚息利率年利率11.7%自2015年10月10日起至本息实际清偿日止计付罚息；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,以124236.67元为本金，按年利率7.8%自2015年12月21日起至2015年7月31日计付复利；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,以124236.67元为本金，按逾期罚息利率年利率11.7%自2015年8月1日起至本息实际清偿之日止计付复利）；,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,二、被告虞邦均、刘梅芳对上述第一项债务承担连带共同清偿责任，但包括上述债务在内，被告虞邦均、刘梅芳对合同编号为2014年市营（保）字0026号的《最高额保证合同》项下所有主债务承担连带清偿责任总额以10000万元为限；,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,三、被告杨幼珠、叶晋春对上述第一项债务承担连带共同清偿责任，但包括上述债务在内，被告杨幼珠、叶晋春对合同编号为2014年市营（保）字第0124号的《最高额保证合同》项下所有主债务承担连带清偿责任总额以940万元为限；,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,四、被告虞佳尔、徐善富对上述第一项债务承担连带共同清偿责任，但包括上述债务在内，被告杨幼珠、叶晋春对合同编号为2014年市营（保）字第0123号的《最高额保证合同》项下所有主债务承担连带清偿责任总额以940万元为限；,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,五、被告虞虹洁对上述第一项债务承担连带共同清偿责任，但包括上述债务在内，被告虞虹洁对合同编号为2014年市营（保）字0255号的《最高额保证合同》项下所有主债务承担连带清偿责任总额以940万元为限；,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,六、被告虞邦均、刘梅芳、杨幼珠、叶晋春、虞佳尔、徐善富、虞虹洁承担上述保证责任后，有权向被告舟山隆佳贸易有限公司追偿。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,如果未按本判决指定的期间履行给付金钱义务，应当依照《中华人民共和国民事诉讼法》第二百五十三条之规定，加倍支付迟延履行期间的债务利息。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,本案受理费77600元，由被告舟山隆佳贸易有限公司、虞邦均、刘梅芳、杨幼珠、叶晋春、虞佳尔、徐善富、虞虹洁共同负担。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,被告美格兰公司、百鑫公司、李逸程、张淑芬经本院合法传唤，无正当理由拒不到庭参加诉讼，也未提供书面答辩意见，视为放弃答辩权利。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,原告信达公司为证明其主张，向本院提供了以下证据：1、《有追索权国内保理合同》，证明保理预付款最高限额、保理利息、逾期违约金等具体内容；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,2、《应收账款质押/转让登记协议》，证明双方约定保理合同顶下债权转让应办理相关登记；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,3、应收账款转让申请书、应收账款转让通知书、保理预付款支用单、人民银行征信中心动产权属统一登记表、预付款支用回单，证明建行洛江支行受让债权金额6877251.16元和支付预付款532万元、受让债权金额6133981.40元和支付预付款490万元、受让债权金额12235958.69元和支付预付款978万元；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,4、《自然人最高额保证合同》，证明担保范围、担保期限；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,5、购销合同及发票，证明保理合同项下应收款债权对应的商务合同和发票；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,6、对帐单，证明建行洛江支行已履行支付预付款2000万元的付款义务；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,7、债权转让协议、债权转让及催收公告，证明原告依法取得本案债权，已依法进行转让和催收公告；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,8、贷款本息对帐单，证明暂计2015年5月31日，借款人尚欠原告借款本息余额为26566560.07元；,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,9、（2014）泉民初字第778号民事裁定书，证明原债权人建行洛江支行依法起诉。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,被告美格兰公司、百鑫公司、李逸程、张淑芬经本院合法传唤，无正当理由拒不到庭参加诉讼，视为放弃举证、质证的权利。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,对原告信达公司提供的证据真实性、合法性、关联性，本院依法予以确认，上述证据能够支持原告证明主张。,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
